X,y,w,ids
CCc1cccc(C)c1NC(=O)[C@@H]1[C@H](C)C1(F)F,3.397,1.0,CCc1cccc(C)c1NC(=O)[C@@H]1[C@H](C)C1(F)F
C[C@H](C#N)CN(C)C(=O)c1ccccc1NC(=O)C1CC1,2.267,1.0,C[C@H](C#N)CN(C)C(=O)c1ccccc1NC(=O)C1CC1
CNC(=O)[C@@H]1CN(C(=O)C(=O)N2CCC(OC)CC2)CCO1,-1.403,1.0,CNC(=O)[C@@H]1CN(C(=O)C(=O)N2CCC(OC)CC2)CCO1
CNC(=O)[C@@H]1CN(C(=O)C(=O)N2CCCC[C@H]2C)CCO1,-0.639,1.0,CNC(=O)[C@@H]1CN(C(=O)C(=O)N2CCCC[C@H]2C)CCO1
FCCOCCNc1ccc2ccc(F)cc2n1,2.772,1.0,FCCOCCNc1ccc2ccc(F)cc2n1
Cc1ccc(C(=O)OCC(C)(C)O)c2ncccc12,2.471,1.0,Cc1ccc(C(=O)OCC(C)(C)O)c2ncccc12
COc1c(C(=O)N2C[C@@H](O)[C@H](NC(=O)C(N)=O)C2)cnn1C,-2.785,1.0,COc1c(C(=O)N2C[C@@H](O)[C@H](NC(=O)C(N)=O)C2)cnn1C
CCC(=O)NC[C@H]1CN(C(=O)c2cnn(C(C)C)c2C)C[C@H]1C,2.007,1.0,CCC(=O)NC[C@H]1CN(C(=O)c2cnn(C(C)C)c2C)C[C@H]1C
CCN(CC(C)C)C(=O)c1cn(-c2cccc([N+](=O)[O-])c2)nn1,2.294,1.0,CCN(CC(C)C)C(=O)c1cn(-c2cccc([N+](=O)[O-])c2)nn1
C#CCOCCNC(=O)C(=O)Nc1cccc(-n2ccnn2)c1,-0.028,1.0,C#CCOCCNC(=O)C(=O)Nc1cccc(-n2ccnn2)c1
COc1c(O)nc(O)nc1C(=O)N(C)C1CC(NC(=O)C(N)=O)C1,-1.899,1.0,COc1c(O)nc(O)nc1C(=O)N(C)C1CC(NC(=O)C(N)=O)C1
CS(=O)(=O)NC1CC(NC(=O)c2cc(O)ncn2)C1,-1.008,1.0,CS(=O)(=O)NC1CC(NC(=O)c2cc(O)ncn2)C1
O=C(c1ccc(F)nc1)N1CCC[C@H](NC/C(Cl)=C\Cl)C1,2.734,1.0,O=C(c1ccc(F)nc1)N1CCC[C@H](NC/C(Cl)=C\Cl)C1
C[C@@H]1CN(C(=O)c2ccc(C(N)=O)nc2)CC[C@H]1NCC(=O)N(C)C,-0.291,1.0,C[C@@H]1CN(C(=O)c2ccc(C(N)=O)nc2)CC[C@H]1NCC(=O)N(C)C
C[C@H](CCCO)CNC(=O)[C@@H]1Oc2ccccc2O[C@H]1C,1.74,1.0,C[C@H](CCCO)CNC(=O)[C@@H]1Oc2ccccc2O[C@H]1C
CCN(CC)C(=O)c1cc(Cl)c2c(c1)OCCO2,2.593,1.0,CCN(CC)C(=O)c1cc(Cl)c2c(c1)OCCO2
CCOc1ccc(S(=O)(=O)N2CCN(CCOC)[C@@H](C)C2)cn1,0.8220000000000001,1.0,CCOc1ccc(S(=O)(=O)N2CCN(CCOC)[C@@H](C)C2)cn1
N#Cc1ccc(S(=O)(=O)N2CCN(C(=O)CO)CC2)cn1,-1.222,1.0,N#Cc1ccc(S(=O)(=O)N2CCN(C(=O)CO)CC2)cn1
C=CCC1(CNC(=O)CC2(CS(C)(=O)=O)CC2)CCCC1,2.454,1.0,C=CCC1(CNC(=O)CC2(CS(C)(=O)=O)CC2)CCCC1
CC(=O)CCCC(=O)N[C@H]1CCC[C@H]1CNC(=O)CC1(C)CC1,2.337,1.0,CC(=O)CCCC(=O)N[C@H]1CCC[C@H]1CNC(=O)CC1(C)CC1
CCC(C)(C)C(=O)N1CCN(C(=O)C[C@@H](C)N2CCCC2=O)CC1,1.494,1.0,CCC(C)(C)C(=O)N1CCN(C(=O)C[C@@H](C)N2CCCC2=O)CC1
NS(=O)(=O)N1CCN(C(=O)CCN2CCCC2=O)CC1,-1.653,1.0,NS(=O)(=O)N1CCN(C(=O)CCN2CCCC2=O)CC1
N#CCN(C1CCCC1)S(=O)(=O)c1cc(Cl)cc(C(=O)O)c1,2.495,1.0,N#CCN(C1CCCC1)S(=O)(=O)c1cc(Cl)cc(C(=O)O)c1
CCS[C@H]1CCC[C@@H]1NS(=O)(=O)c1ccccc1C(=O)O,2.337,1.0,CCS[C@H]1CCC[C@@H]1NS(=O)(=O)c1ccccc1C(=O)O
COc1cc(C(=O)N2CCC[C@H](NCC#N)C2)cc(OC)n1,0.8170000000000001,1.0,COc1cc(C(=O)N2CCC[C@H](NCC#N)C2)cc(OC)n1
COc1cc(C(=O)N2CCCC[C@H]2[C@@H](C)NC(C)C)ccn1,2.471,1.0,COc1cc(C(=O)N2CCCC[C@H]2[C@@H](C)NC(C)C)ccn1
COc1ccc(CN(C)C)cc1NC(=O)C(=O)N[C@@H]1CCC[C@H]1OC,1.379,1.0,COc1ccc(CN(C)C)cc1NC(=O)C(=O)N[C@@H]1CCC[C@H]1OC
Cc1cc(C)c(NC(=O)C(=O)NC2CCCC2)c(Cl)c1,2.954,1.0,Cc1cc(C)c(NC(=O)C(=O)NC2CCCC2)c(Cl)c1
C[C@H](NC(=O)CCn1cc(C#N)c(O)nc1=O)C(=O)O,-1.2,1.0,C[C@H](NC(=O)CCn1cc(C#N)c(O)nc1=O)C(=O)O
Cn1cc(C(=O)NCCNC/C=C\Cl)c(O)nc1=O,-0.442,1.0,Cn1cc(C(=O)NCCNC/C=C\Cl)c(O)nc1=O
CCCN(C(=O)C1CC1)[C@@H]1CCN(c2ccnc(C)n2)C1,2.012,1.0,CCCN(C(=O)C1CC1)[C@@H]1CCN(c2ccnc(C)n2)C1
N#Cc1nccc(N2CC[C@@H](NC(=O)[C@H]3CC3(F)F)C2)n1,0.698,1.0,N#Cc1nccc(N2CC[C@@H](NC(=O)[C@H]3CC3(F)F)C2)n1
CC[C@H](C(N)=O)N1CC[C@H]1CN(C)C(=O)c1nc(Cl)sc1C,1.515,1.0,CC[C@H](C(N)=O)N1CC[C@H]1CN(C)C(=O)c1nc(Cl)sc1C
CC(C)CCN1CC[C@@H]1CNC(=O)c1csc(C(F)(F)F)n1,3.012,1.0,CC(C)CCN1CC[C@@H]1CNC(=O)c1csc(C(F)(F)F)n1
C[C@H](c1ccc(F)c(F)c1)N(C)C(=O)CN1CCC[C@@H](C)[C@H]1CO,2.577,1.0,C[C@H](c1ccc(F)c(F)c1)N(C)C(=O)CN1CCC[C@@H](C)[C@H]1CO
COc1cccc(CNC(=O)[C@H](C)N2C[C@H](C)CC(C)(C)C2)c1,3.068,1.0,COc1cccc(CNC(=O)[C@H](C)N2C[C@H](C)CC(C)(C)C2)c1
COc1ccc(CNC(=O)N2CCC[C@@H](CO)[C@H]2C)cc1,1.998,1.0,COc1ccc(CNC(=O)N2CCC[C@@H](CO)[C@H]2C)cc1
CCN(C)c1ccccc1CNC(=O)N1C[C@H](C(=O)O)C[C@H](C)C1,2.395,1.0,CCN(C)c1ccccc1CNC(=O)N1C[C@H](C(=O)O)C[C@H](C)C1
CCCCCCCCN1CCSC[C@@H]1C(N)=O,2.25,1.0,CCCCCCCCN1CCSC[C@@H]1C(N)=O
O=S(=O)(CCN/C(O)=N/CCCO)N1CCSCC1,-0.7490000000000001,1.0,O=S(=O)(CCN/C(O)=N/CCCO)N1CCSCC1
CCOc1ncc(-c2cccc(S(=O)(=O)CC)c2)cn1,2.336,1.0,CCOc1ncc(-c2cccc(S(=O)(=O)CC)c2)cn1
CCOc1ccc(-c2c(OC)ncnc2OC)c(C)c1,2.8680000000000003,1.0,CCOc1ccc(-c2c(OC)ncnc2OC)c(C)c1
CC(C)(CC(=O)O)NCc1cccc(-c2ccncc2)c1,3.092,1.0,CC(C)(CC(=O)O)NCc1cccc(-c2ccncc2)c1
COC(=O)[C@@H](NCc1ccc(-c2ccncc2)cc1F)[C@H](C)O,1.9,1.0,COC(=O)[C@@H](NCc1ccc(-c2ccncc2)cc1F)[C@H](C)O
COCCN1CC[C@H](C)[C@@H](NC(=O)c2cc3ccccc3n2C)C1,2.265,1.0,COCCN1CC[C@H](C)[C@@H](NC(=O)c2cc3ccccc3n2C)C1
COCC(=O)N1CCC[C@@](CO)(NC(=O)c2cc3ccccc3[nH]2)C1,0.898,1.0,COCC(=O)N1CCC[C@@](CO)(NC(=O)c2cc3ccccc3[nH]2)C1
CO[C@@H](CS(=O)(=O)NC[C@@H]1CCC=CO1)C(C)C,1.27,1.0,CO[C@@H](CS(=O)(=O)NC[C@@H]1CCC=CO1)C(C)C
CC[C@@H](CNC(=O)C1=COCCC1)NC(=O)CN(C)C(C)=O,0.17,1.0,CC[C@@H](CNC(=O)C1=COCCC1)NC(=O)CN(C)C(C)=O
COC(=O)[C@H](O)C1CCN(C(=O)[C@@H]2CCNC2=O)CC1,-1.105,1.0,COC(=O)[C@H](O)C1CCN(C(=O)[C@@H]2CCNC2=O)CC1
CN(C(=O)C(N)=O)C1CCN(C(=O)[C@@]2(C)CCNC2=O)CC1,-1.5530000000000002,1.0,CN(C(=O)C(N)=O)C1CCN(C(=O)[C@@]2(C)CCNC2=O)CC1
CCO[C@@H]1C[C@H](NC(=O)c2cc(S(N)(=O)=O)ccc2C)[C@H]1OC,0.565,1.0,CCO[C@@H]1C[C@H](NC(=O)c2cc(S(N)(=O)=O)ccc2C)[C@H]1OC
CC[C@@H](OC)C(=O)NC[C@H]1C[C@@H](NC(=O)c2ccc(OC)cc2)C1,1.745,1.0,CC[C@@H](OC)C(=O)NC[C@H]1C[C@@H](NC(=O)c2ccc(OC)cc2)C1
CC(=O)N(C)CC(=O)N[C@@H]1CCN(C(=O)c2ccn(C)n2)C1,-0.7709999999999999,1.0,CC(=O)N(C)CC(=O)N[C@@H]1CCN(C(=O)c2ccn(C)n2)C1
COCCn1ccc(C(=O)N2CC[C@@H]([C@@H](C)NCC(N)=O)C2)n1,-0.545,1.0,COCCn1ccc(C(=O)N2CC[C@@H]([C@@H](C)NCC(N)=O)C2)n1
CCNC(=O)C(C)(C)CNC(=O)C(=O)N[C@@H]1C[C@H](OC)C12CCC2,0.339,1.0,CCNC(=O)C(C)(C)CNC(=O)C(=O)N[C@@H]1C[C@H](OC)C12CCC2
C#CCSCCNC(=O)C(=O)NC1CC2(CCC2)C1,0.918,1.0,C#CCSCCNC(=O)C(=O)NC1CC2(CCC2)C1
Cc1cnc(C(=O)N2CCN(C(=O)[C@@H](F)C(C)C)CC2)cn1,1.064,1.0,Cc1cnc(C(=O)N2CCN(C(=O)[C@@H](F)C(C)C)CC2)cn1
COC(=O)[C@@H]1CN(C(=O)c2nccnc2C(N)=O)CCN1C,-1.495,1.0,COC(=O)[C@@H]1CN(C(=O)c2nccnc2C(N)=O)CCN1C
NC(=O)[C@@H]1CCC2(CN(C(=O)c3cncnc3O)C2)O1,-0.959,1.0,NC(=O)[C@@H]1CCC2(CN(C(=O)c3cncnc3O)C2)O1
CO[C@H](C)C(=O)N[C@@H]1COC2(CN(C(=O)c3cncnc3)C2)C1,-0.389,1.0,CO[C@H](C)C(=O)N[C@@H]1COC2(CN(C(=O)c3cncnc3)C2)C1
O=C(NCc1ccc(Cl)cc1)N[C@H](CO)Cc1ccccc1,2.7430000000000003,1.0,O=C(NCc1ccc(Cl)cc1)N[C@H](CO)Cc1ccccc1
Cc1cccc([C@H](O)CNC(=O)NCc2ccc(O)c(F)c2)c1,2.373,1.0,Cc1cccc([C@H](O)CNC(=O)NCc2ccc(O)c(F)c2)c1
CCOCc1cccc(NC(=O)N2CCC(COC)CC2)c1,3.113,1.0,CCOCc1cccc(NC(=O)N2CCC(COC)CC2)c1
CNC(=O)CC1CCN(C(=O)Nc2cccc(F)c2Cl)CC1,2.859,1.0,CNC(=O)CC1CCN(C(=O)Nc2cccc(F)c2Cl)CC1
COC[C@H]1C[C@@H](O)CN1C(=O)C(=O)N1C[C@H](COC)O[C@@H](C)C1,-1.143,1.0,COC[C@H]1C[C@@H](O)CN1C(=O)C(=O)N1C[C@H](COC)O[C@@H](C)C1
CC[C@@H]1CN(C(=O)C(=O)N2C[C@@H](C)CC2(C)C)C[C@H](C)O1,1.659,1.0,CC[C@@H]1CN(C(=O)C(=O)N2C[C@@H](C)CC2(C)C)C[C@H](C)O1
C[C@@H]1CC[C@@H](C(=O)O)CN1c1ccc(Br)cn1,2.5340000000000003,1.0,C[C@@H]1CC[C@@H](C(=O)O)CN1c1ccc(Br)cn1
CCOC(=O)N[C@@H]1CCCN(c2ncc([N+](=O)[O-])cc2F)C1,1.844,1.0,CCOC(=O)N[C@@H]1CCCN(c2ncc([N+](=O)[O-])cc2F)C1
CCO[C@@H](C)C(=O)N[C@@H]1CN(Cc2nnnn2C)C[C@H]1C,-0.428,1.0,CCO[C@@H](C)C(=O)N[C@@H]1CN(Cc2nnnn2C)C[C@H]1C
CC[C@H](NC(C)=O)C(=O)N[C@@H]1CN(Cc2nnnn2C)C[C@H]1O,-2.214,1.0,CC[C@H](NC(C)=O)C(=O)N[C@@H]1CN(Cc2nnnn2C)C[C@H]1O
Cc1ccc(C(N)=O)cc1NC(=O)C(=O)N(CC(F)F)C1CCC1,1.679,1.0,Cc1ccc(C(N)=O)cc1NC(=O)C(=O)N(CC(F)F)C1CCC1
CN(C(=O)C(=O)Nc1ccc(F)c(C(N)=O)c1)C1CCC1,0.8740000000000001,1.0,CN(C(=O)C(=O)Nc1ccc(F)c(C(N)=O)c1)C1CCC1
C#C[C@H](C)N(C)c1nnc([C@@H](C)c2ccc(OC)cc2)n1CC,2.9160000000000004,1.0,C#C[C@H](C)N(C)c1nnc([C@@H](C)c2ccc(OC)cc2)n1CC
CC(C)SCCN[C@H](c1nnc[nH]1)c1ccccc1,2.625,1.0,CC(C)SCCN[C@H](c1nnc[nH]1)c1ccccc1
COc1ccc([N+](=O)[O-])cc1CN[C@@H]1C[C@H](OC(C)C)C1(C)C,3.285,1.0,COc1ccc([N+](=O)[O-])cc1CN[C@@H]1C[C@H](OC(C)C)C1(C)C
Cc1ccc(CNC2CC(CNC(=O)[C@H](C)C(C)C)C2)cc1F,3.411,1.0,Cc1ccc(CNC2CC(CNC(=O)[C@H](C)C(C)C)C2)cc1F
CCN(C(=O)c1ccncc1)[C@H]1CCN(C(=O)[C@H](O)C(C)C)C1,1.162,1.0,CCN(C(=O)c1ccncc1)[C@H]1CCN(C(=O)[C@H](O)C(C)C)C1
CC(C)CN1C[C@H](NC(=O)c2c(F)cncc2F)C(C)(C)C1,2.456,1.0,CC(C)CN1C[C@H](NC(=O)c2c(F)cncc2F)C(C)(C)C1
CC[C@H](C)CN1CC[C@H](NC(=O)c2cc(F)ccc2C)[C@H]1C,3.373,1.0,CC[C@H](C)CN1CC[C@H](NC(=O)c2cc(F)ccc2C)[C@H]1C
Cc1ccc(C(=O)N[C@@H]2CCN(C(=O)CC(C)(C)O)C2)cc1,1.487,1.0,Cc1ccc(C(=O)N[C@@H]2CCN(C(=O)CC(C)(C)O)C2)cc1
CCc1ccccc1CCN1CC[C@H](CO)[C@@H](O)C1,1.467,1.0,CCc1ccccc1CCN1CC[C@H](CO)[C@@H](O)C1
CNC(=O)N[C@H]1CCCN([C@@H](C)Cc2ccc([N+](=O)[O-])cc2)C1,1.919,1.0,CNC(=O)N[C@H]1CCCN([C@@H](C)Cc2ccc([N+](=O)[O-])cc2)C1
CC1(C(=O)N2C[C@@H](NC(=O)[C@@H]3CC=CCC3)[C@@H](O)C2)CCC1,1.221,1.0,CC1(C(=O)N2C[C@@H](NC(=O)[C@@H]3CC=CCC3)[C@@H](O)C2)CCC1
CN(C(=O)[C@@H]1CC=CCC1)[C@@H]1CCN(C(=O)C2(C)CCC2)C1,2.592,1.0,CN(C(=O)[C@@H]1CC=CCC1)[C@@H]1CCN(C(=O)C2(C)CCC2)C1
COCCCC(=O)N[C@@H](C)[C@H](C)NCc1nc(=O)n(C)[nH]1,-0.482,1.0,COCCCC(=O)N[C@@H](C)[C@H](C)NCc1nc(=O)n(C)[nH]1
CC(C)C(=O)NC[C@@H](O)CNCc1nc(=O)n(C)[nH]1,-1.669,1.0,CC(C)C(=O)NC[C@@H](O)CNCc1nc(=O)n(C)[nH]1
CNC(=O)CCCC(=O)NC[C@H](C)NC(=O)c1cnsn1,-0.311,1.0,CNC(=O)CCCC(=O)NC[C@H](C)NC(=O)c1cnsn1
CS(=O)(=O)CCC(=O)NCCCNCc1cnsn1,-0.431,1.0,CS(=O)(=O)CCC(=O)NCCCNCc1cnsn1
O=C(NCCCCCCO)Nc1ccc(N2CCCC2=O)cc1,2.488,1.0,O=C(NCCCCCCO)Nc1ccc(N2CCCC2=O)cc1
NCCNC(=O)C(=O)N[C@@H]1CC(=O)N(c2ccccc2)C1,-1.017,1.0,NCCNC(=O)C(=O)N[C@@H]1CC(=O)N(c2ccccc2)C1
C#Cc1cncc(C(=O)N[C@@H]2CCC[C@H]([S@@](C)=O)C2)c1,1.482,1.0,C#Cc1cncc(C(=O)N[C@@H]2CCC[C@H]([S@@](C)=O)C2)c1
Cc1cc(F)ncc1C(=O)N[C@@H]1CCC[C@H](N(C)C)C1,2.132,1.0,Cc1cc(F)ncc1C(=O)N[C@@H]1CCC[C@H](N(C)C)C1
Cc1cc(C(=O)NC[C@@H](O)CNC(=O)c2ccc(F)cc2C)n(C)n1,0.6970000000000001,1.0,Cc1cc(C(=O)NC[C@@H](O)CNC(=O)c2ccc(F)cc2C)n(C)n1
Cc1cccc(C(=O)N[C@@H](C)C[C@@H](C)NC(=O)c2ccnn2C)c1,2.055,1.0,Cc1cccc(C(=O)N[C@@H](C)C[C@@H](C)NC(=O)c2ccnn2C)c1
CC(C)(F)C(=O)N1CC(CNC(=O)CCn2cnnn2)C1,-0.614,1.0,CC(C)(F)C(=O)N1CC(CNC(=O)CCn2cnnn2)C1
CCOCC(=O)N1CC([C@H](C)NC(=O)CCn2cnnn2)C1,-0.937,1.0,CCOCC(=O)N1CC([C@H](C)NC(=O)CCn2cnnn2)C1
C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1CCN(Cc2cnn(C)c2)C1,2.155,1.0,C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1CCN(Cc2cnn(C)c2)C1
C[C@@H]1CN(Cc2cnn(CC(F)(F)F)c2)C(C)(C)C1,3.0660000000000003,1.0,C[C@@H]1CN(Cc2cnn(CC(F)(F)F)c2)C(C)(C)C1
CC(C)(C)OCCCCOC(=O)[C@H]1Cc2ccccc2O1,3.129,1.0,CC(C)(C)OCCCCOC(=O)[C@H]1Cc2ccccc2O1
CCCN(C(=O)c1ccc2c(c1)C[C@@H](C)O2)[C@@H](C)C(=O)OCC,2.814,1.0,CCCN(C(=O)c1ccc2c(c1)C[C@@H](C)O2)[C@@H](C)C(=O)OCC
CCOC(=O)N1CC[C@@H](NC(=S)Nc2ccc(F)cc2)C1,2.343,1.0,CCOC(=O)N1CC[C@@H](NC(=S)Nc2ccc(F)cc2)C1
OC[C@@H]1CNC[C@H]1NC(=S)Nc1ccc(F)cc1F,0.8320000000000001,1.0,OC[C@@H]1CNC[C@H]1NC(=S)Nc1ccc(F)cc1F
Cc1cc(C(=O)OCc2c(F)cccc2F)nn1C(C)C,3.408,1.0,Cc1cc(C(=O)OCc2c(F)cccc2F)nn1C(C)C
COC(=O)[C@@H](OC(=O)c1cc(OC)n(C)n1)c1ccccc1Cl,2.153,1.0,COC(=O)[C@@H](OC(=O)c1cc(OC)n(C)n1)c1ccccc1Cl
CC[C@@H](NC(=O)CN1C(=O)CCc2ccccc21)[C@H](O)C(F)(F)F,1.784,1.0,CC[C@@H](NC(=O)CN1C(=O)CCc2ccccc21)[C@H](O)C(F)(F)F
COC(=O)CCCCOC(=O)[C@H]1CC(=O)Nc2cc(F)ccc21,2.138,1.0,COC(=O)CCCCOC(=O)[C@H]1CC(=O)Nc2cc(F)ccc21
CNC(=O)Cn1nc(NC(=O)[C@H]2OCC[C@H]2N)cc1C,-1.008,1.0,CNC(=O)Cn1nc(NC(=O)[C@H]2OCC[C@H]2N)cc1C
COC(=O)[C@H]1CC[C@H](C(=O)Nc2ccn(C)n2)O1,0.079,1.0,COC(=O)[C@H]1CC[C@H](C(=O)Nc2ccn(C)n2)O1
CCCN[C@@H]1CCC[C@H](NC(=O)CN2CCNC(=O)C2)C1,-0.155,1.0,CCCN[C@@H]1CCC[C@H](NC(=O)CN2CCNC(=O)C2)C1
CCN1CCN(CC(=O)N[C@@H]2CCC[C@H](C)[C@H]2C)[C@@H](C)C1=O,1.48,1.0,CCN1CCN(CC(=O)N[C@@H]2CCC[C@H](C)[C@H]2C)[C@@H](C)C1=O
C[C@@H](NC(=O)NC1CC(C)(F)C1)c1cccnc1,2.332,1.0,C[C@@H](NC(=O)NC1CC(C)(F)C1)c1cccnc1
C[C@H](NC(=O)N[C@H]1C[C@@H](C(=O)O)C1)c1ccc(C(F)(F)F)nc1,2.324,1.0,C[C@H](NC(=O)N[C@H]1C[C@@H](C(=O)O)C1)c1ccc(C(F)(F)F)nc1
CNCc1cccc(NCc2ccc(F)c(C)c2)c1,3.466,1.0,CNCc1cccc(NCc2ccc(F)c(C)c2)c1
CC[C@@H](CO)NC(=O)Cc1ccc(NCc2cccc(C#N)c2)cc1,2.6,1.0,CC[C@@H](CO)NC(=O)Cc1ccc(NCc2cccc(C#N)c2)cc1
CCCCCCNCC1CCN(C(=O)[C@@H](C2CC2)N(C)C)CC1,2.735,1.0,CCCCCCNCC1CCN(C(=O)[C@@H](C2CC2)N(C)C)CC1
CC(C)C#CC(=O)N[C@H]1CCN(C(=O)C(C)(C)C2CC2)CC1(C)C,2.825,1.0,CC(C)C#CC(=O)N[C@H]1CCN(C(=O)C(C)(C)C2CC2)CC1(C)C
COCCNC[C@@H]1CN(C(=O)c2scnc2Cl)C[C@H]1C,1.741,1.0,COCCNC[C@@H]1CN(C(=O)c2scnc2Cl)C[C@H]1C
Cc1ncc(C(=O)N2C[C@@H](C)[C@H](N[C@@H](C)C(=O)N(C)C)C2)s1,0.978,1.0,Cc1ncc(C(=O)N2C[C@@H](C)[C@H](N[C@@H](C)C(=O)N(C)C)C2)s1
C=CCNN=Cc1cccc(O[C@H](C(=O)O)c2ccccc2)c1,3.0010000000000003,1.0,C=CCNN=Cc1cccc(O[C@H](C(=O)O)c2ccccc2)c1
NC(=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,3.383,1.0,NC(=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1
CCNC(=O)CC(=O)NC[C@@H](CO)N[C@@H](C)c1nncn1C,-1.531,1.0,CCNC(=O)CC(=O)NC[C@@H](CO)N[C@@H](C)c1nncn1C
CC(C)OCCCNCCNC(=O)COCc1nncn1C,-0.147,1.0,CC(C)OCCCNCCNC(=O)COCc1nncn1C
Cc1nc(CNC[C@@H]2CC[C@H](NC(=O)Cn3cnnn3)C2)co1,0.044,1.0,Cc1nc(CNC[C@@H]2CC[C@H](NC(=O)Cn3cnnn3)C2)co1
CCCOc1ccc(-c2ccc(C(=O)NCC(=O)O)o2)c(F)c1,2.689,1.0,CCCOc1ccc(-c2ccc(C(=O)NCC(=O)O)o2)c(F)c1
O=C(NC[C@H]1CC[C@@H](CO)O1)c1ccnc(-n2cncn2)c1,-0.068,1.0,O=C(NC[C@H]1CC[C@@H](CO)O1)c1ccnc(-n2cncn2)c1
N#Cc1ccc(/C=C/C(=O)N=c2nc[nH]n2-c2ccccc2)cc1,2.213,1.0,N#Cc1ccc(/C=C/C(=O)N=c2nc[nH]n2-c2ccccc2)cc1
C#CCN1CCC[C@H]1C(=O)N1CC(O)(CNC(=O)C(C)(F)F)C1,-0.5710000000000001,1.0,C#CCN1CCC[C@H]1C(=O)N1CC(O)(CNC(=O)C(C)(F)F)C1
Cc1cc(CN2CC[C@H](C3CCC3)C2)[nH]c1C(=O)O,2.643,1.0,Cc1cc(CN2CC[C@H](C3CCC3)C2)[nH]c1C(=O)O
COC(=O)c1ccc(C(=O)NC[C@@H](CO)[C@H]2CCOC2)n1C,0.187,1.0,COC(=O)c1ccc(C(=O)NC[C@@H](CO)[C@H]2CCOC2)n1C
C[C@H]1CN2CCN1C[C@@H]2C(=O)N1CCN(c2cnccc2C#N)CC1,-0.01,1.0,C[C@H]1CN2CCN1C[C@@H]2C(=O)N1CCN(c2cnccc2C#N)CC1
O=C(Cc1cccc(O)c1)NC[C@H]1CC[C@H](C2CC2)O1,2.009,1.0,O=C(Cc1cccc(O)c1)NC[C@H]1CC[C@H](C2CC2)O1
NC(=O)NCC(=O)NCC1(O)CCN(C(=O)CCCC2CC2)CC1,-0.295,1.0,NC(=O)NCC(=O)NCC1(O)CCN(C(=O)CCCC2CC2)CC1
COCCOC1CN(C(=O)NCCc2cccc(C)n2)C1,0.989,1.0,COCCOC1CN(C(=O)NCCc2cccc(C)n2)C1
Cn1nncc1NC(=O)NC[C@@H]1CCCC[C@@H]1C(C)(C)C,2.789,1.0,Cn1nncc1NC(=O)NC[C@@H]1CCCC[C@@H]1C(C)(C)C
CC1(C(=O)N[C@H]2C[C@@H](CNC(=O)[C@H]3CCCOCC3)C2)CCCC1,2.394,1.0,CC1(C(=O)N[C@H]2C[C@@H](CNC(=O)[C@H]3CCCOCC3)C2)CCCC1
CCCn1c(=O)nc(O)c2cc(C(=O)NCC(=O)NCC)cnc21,-0.227,1.0,CCCn1c(=O)nc(O)c2cc(C(=O)NCC(=O)NCC)cnc21
CCO[C@@H]1C[C@H]1C(=O)N1CC2(C1)CCN(CCN1C(=O)CCC1=O)C2,0.095,1.0,CCO[C@@H]1C[C@H]1C(=O)N1CC2(C1)CCN(CCN1C(=O)CCC1=O)C2
CCc1[nH]c(CN(CC)Cc2cccs2)cc1C(=O)O,3.359,1.0,CCc1[nH]c(CN(CC)Cc2cccs2)cc1C(=O)O
O=C(CCCF)N1CC2(C1)CCCN(C(=O)Cn1cnnn1)C2,-0.126,1.0,O=C(CCCF)N1CC2(C1)CCCN(C(=O)Cn1cnnn1)C2
Cc1cc(C(=O)NCc2cccc(-c3ncc[nH]3)c2)no1,2.303,1.0,Cc1cc(C(=O)NCc2cccc(-c3ncc[nH]3)c2)no1
CN(CCCc1ccc(C#N)cc1)[C@H]1CC[C@H](O)CC1,2.7260000000000004,1.0,CN(CCCc1ccc(C#N)cc1)[C@H]1CC[C@H](O)CC1
CC(C)CC(=O)NCC[C@H]1CCN(C(=O)c2ccc3nc[nH]c3n2)C1,1.972,1.0,CC(C)CC(=O)NCC[C@H]1CCN(C(=O)c2ccc3nc[nH]c3n2)C1
O=C(O)Cn1cc(C(=O)N2C[C@@H]3[C@H]4C=C[C@@H](O4)[C@@H]3C2)nn1,-0.612,1.0,O=C(O)Cn1cc(C(=O)N2C[C@@H]3[C@H]4C=C[C@@H](O4)[C@@H]3C2)nn1
CN(Cc1ccc2c(c1)C(C)(C)OB2O)C[C@@H]1CCCN1,0.823,1.0,CN(Cc1ccc2c(c1)C(C)(C)OB2O)C[C@@H]1CCCN1
CN(C(=O)c1cnc(O)n1C)[C@H]1CCCN(C(=O)C2(C(N)=O)CC2)C1,-0.546,1.0,CN(C(=O)c1cnc(O)n1C)[C@H]1CCCN(C(=O)C2(C(N)=O)CC2)C1
C=CCCCC(=O)NC[C@H]1CN(C(=O)Cn2cnnn2)C[C@@H]1O,-1.035,1.0,C=CCCCC(=O)NC[C@H]1CN(C(=O)Cn2cnnn2)C[C@@H]1O
CCO[C@@H](CN1CCC(NC(=O)CN2CCCC2=O)CC1)C1CC1,1.005,1.0,CCO[C@@H](CN1CCC(NC(=O)CN2CCCC2=O)CC1)C1CC1
